Date,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,LT.NS,SBIN.NS,BAJFINANCE.NS,BHARTIARTL.NS,HCLTECH.NS,ASIANPAINT.NS,AXISBANK.NS,DMART.NS,MARUTI.NS,ULTRACEMCO.NS,HDFC.NS,TITAN.NS,SUNPHARMA.NS,M&M.NS,NESTLEIND.NS,WIPRO.NS,ADANIGREEN.NS,TATASTEEL.NS,JSWSTEEL.NS,POWERGRID.NS,ONGC.NS,NTPC.NS,COALINDIA.NS,BPCL.NS,IOC.NS,TECHM.NS,INDUSINDBK.NS,DIVISLAB.NS,GRASIM.NS,CIPLA.NS,BAJAJFINSV.NS,TATAMOTORS.NS,HEROMOTOCO.NS,DRREDDY.NS,SHREECEM.NS,BRITANNIA.NS,UPL.NS,EICHERMOT.NS,SBILIFE.NS,ADANIPORTS.NS,BAJAJ-AUTO.NS,HINDALCO.NS
2024-09-03 00:00:00+05:30,3018.25,1637.349976,1247.699951,1941.25,4512.350098,1783.800049,2794.300049,509.3999939,3690.149902,824.7999878,7353.799805,1560.599976,1790.449951,3154.850098,1191.599976,4980.600098,12397.09961,11460.7998,,3621.149902,1811.5,2784.850098,2530.75,536.0499878,1897.900024,152.1499939,930.9500122,334.6499939,322.2000122,406.3999939,519.5999756,355.3999939,176.1300049,1644.099976,1436.699951,5066,2706.850098,1653.199951,1865.599976,1085.099976,5646.5,6853.850098,25507.59961,5916.049805,602.2000122,4865.799805,1928.650024,1479.550049,11043.65039,678.9000244
2024-09-04 00:00:00+05:30,3029.100098,1641.800049,1236.349976,1922.449951,4479.25,1783.800049,2841.25,506.3500061,3650.800049,816.5,7299.5,1561.900024,1785.25,3231.649902,1177.699951,5100.899902,12336.25,11580.4502,,3607.699951,1832.849976,2749.600098,2534.75,519.1500244,1930.900024,151.1799927,933.0499878,332.8999939,314.3999939,405.1000061,503.6499939,357.25,177.0299988,1645.300049,1434.400024,5096.600098,2757.649902,1651.900024,1871.900024,1080.449951,5683.75,6787.200195,25770.75,5926.549805,607.8499756,4833.549805,1912.199951,1472.099976,10963.7002,666.7999878
2024-09-05 00:00:00+05:30,2985.949951,1645.449951,1235.949951,1933.150024,4475.950195,1777.949951,2838.449951,511.2000122,3624.149902,818.75,7244.899902,1547.199951,1790.550049,3238.25,1180.550049,5308.149902,12298.59961,11542.65039,,3722.850098,1826.5,2723.100098,2504.899902,524.8499756,1890.300049,151.7200012,925.4500122,331.25,311.3999939,403.25,497,360.7000122,181.3399963,1639.5,1422.900024,5120.899902,2741.600098,1627.75,1864.949951,1069.150024,5734.200195,6695.75,25662.25,5850,618.7000122,4800.100098,1907.849976,1465.550049,10855.75,669.9500122
2024-09-06 00:00:00+05:30,2929.649902,1636.949951,1208.150024,1901.849976,4456.75,1764.150024,2838.949951,501.7000122,3574.75,782.5,7317.149902,1539.25,1756.099976,3273.699951,1158.75,5303.450195,12186.15039,11432.84961,,3695.5,1824.550049,2698.100098,2503.199951,520.5999756,1863.300049,151.2200012,932.7999878,329.7999878,308.7999878,394.7999878,488.5499878,352.1499939,176.6399994,1623.25,1409.349976,5137.799805,2692.850098,1611.050049,1857.150024,1049.349976,5743.75,6667.149902,25610.44922,5843.549805,609.7999878,4752.5,1896.300049,1442.400024,10830.09961,667.0999756
2024-09-09 00:00:00+05:30,2924.899902,1646.5,1235,1894.650024,4449.549805,1790.150024,2921.800049,511.75,3578.300049,784.25,7347.450195,1542.650024,1746.75,3280.75,1170.849976,5361.399902,12145.75,11494.34961,,3684.550049,1821.849976,2708.850098,2516.75,514.8499756,1865.75,149.4700012,934.25,328.5499878,298.8999939,389.8500061,484.4500122,347.7999878,175.3399963,1579.199951,1428.099976,5173.5,2710.350098,1620.150024,1860.449951,1038.699951,5745.299805,6655.899902,25798.59961,5939.450195,604.4000244,4747.350098,1901.75,1435.900024,10847.59961,658.5499878
2024-09-10 00:00:00+05:30,2923.050049,1650.349976,1237.300049,1912.300049,4507.850098,1791.599976,2898.600098,513.5999756,3596.149902,782.6500244,7241.850098,1577.849976,1779.099976,3295.050049,1187.199951,5344.399902,12263.40039,11541.0498,,3727.399902,1836.349976,2690,2535.5,525.75,1849.699951,149.4199982,938.75,334.1499939,295.6000061,396.2999878,491.1000061,345.9500122,175.5500031,1607.400024,1435.550049,5426.450195,2702.550049,1632,1824.5,1035.800049,5669.700195,6650.399902,25725.15039,5969.899902,619.2000122,4737.200195,1853.449951,1453.400024,10987.75,659.5
2024-09-11 00:00:00+05:30,2903,1643.900024,1236.349976,1910.150024,4479.350098,1789.25,2904.149902,514.3499756,3536.949951,768.5999756,7345.549805,1577.800049,1778.75,3367.449951,1186.099976,5299.100098,12242.59961,11487.4502,,3711.100098,1845.699951,2654.25,2526.850098,514.3499756,1814.449951,148.1699982,927.75,333.2000122,285.2999878,389.6499939,483.9500122,340.25,169.7400055,1602.599976,1421.199951,5439.299805,2681.149902,1628.349976,1833.150024,976.2999878,5654.450195,6612.5,25614.09961,6008.649902,611,4726.649902,1859.150024,1430.599976,11420.75,647.7000122
2024-09-12 00:00:00+05:30,2959.600098,1666.599976,1252.150024,1950.449951,4517.700195,1827.449951,2956.399902,519.5,3622,787.75,7428.299805,1646.75,1807.599976,3383.25,1203.349976,5238.549805,12400.84961,11710.25,,3764.25,1865.400024,2740.899902,2527.850098,530.0499878,1811.900024,151.7400055,954.7999878,338.2000122,294.0499878,404.8500061,495.6499939,344.2999878,173.2599945,1643.25,1443.349976,5482.799805,2757.100098,1657.25,1854.849976,986.1500244,5803.149902,6683.850098,26019.65039,6109.25,614.8499756,4875,1875.949951,1472.599976,11723.5,676.2000122
2024-09-13 00:00:00+05:30,2945.25,1665.949951,1250.349976,1944.099976,4522.600098,1820.349976,2932.949951,513.8499756,3613,790.8499756,7598.5,1634.449951,1812.800049,3358.050049,1217.449951,5187.049805,12316.0498,11717.9502,,3767,1853.75,2739.100098,2531.399902,550.5999756,1788.199951,153.4900055,954.5499878,337.25,291.4500122,401.3999939,490.25,342.2999878,173.1900024,1656.050049,1464.050049,5498.649902,2784.350098,1659.699951,1894.449951,992.0999756,5795.799805,6660.700195,25883.09961,6133.100098,611.4000244,4858.299805,1846.5,1452.099976,11737.15039,673.25
2024-09-16 00:00:00+05:30,2942.699951,1670.949951,1262.849976,1950.25,4513.25,1831.300049,2867.100098,511.1000061,3662.25,785.5499878,7345.75,1635.449951,1811.849976,3335.800049,1231.050049,5204.799805,12289,11642.65039,,3740.649902,1862.949951,2757.399902,2549.600098,551.9000244,1930.800049,154.2100067,971,338.25,292.5,411.1000061,493.25,340.6499939,171.8200073,1649,1470.199951,5479.350098,2765.300049,1659.400024,1857.599976,988.4000244,5779.450195,6647.100098,25619.40039,6063,613.7999878,4899.200195,1821.25,1440.699951,11688.34961,685.1500244
2024-09-17 00:00:00+05:30,2944.600098,1668.800049,1268.099976,1952.550049,4505.649902,1846.650024,2873.5,507.75,3695.199951,782.9000244,7365.5,1661.75,1813.75,3312.800049,1232.099976,5219.850098,12245.75,11645.65039,,3767.399902,1866.099976,2787.649902,2546.850098,551.9000244,1954.400024,152.8200073,964.25,336.8999939,294.6499939,416.2999878,488.5,338.3999939,170.5099945,1651.550049,1466.349976,5452.200195,2754.850098,1671.800049,1848.699951,974.9500122,5961.200195,6631.649902,25437.09961,6111.049805,610.6500244,4850.200195,1819.150024,1426.599976,11950.2998,683
2024-09-18 00:00:00+05:30,2926.899902,1694.800049,1288.349976,1892.150024,4346.149902,1839.699951,2875.850098,507.3500061,3730.449951,792.75,7631.100098,1654.900024,1756.5,3274.649902,1240.449951,5265.200195,12204.09961,11630.90039,,3725.350098,1836,2808.199951,2597.149902,538.1500244,1950.800049,150.6000061,956.7000122,334.2999878,290.3999939,414.1499939,487.1000061,336.1000061,168.4499969,1605.400024,1480.25,5469.149902,2722.699951,1651.599976,1888.199951,962.0499878,5964.75,6567.799805,25076.65039,6123.25,605.0999756,4850.350098,1842.449951,1428.800049,11764.65039,685.25
2024-09-19 00:00:00+05:30,2939.350098,1708.5,1292,1894.199951,4296.149902,1871.949951,2911.75,508.25,3683.699951,789.9500122,7590.350098,1664.849976,1736.5,3293.850098,1242.699951,5342.5,12351.5,11627.5,,3780.949951,1846.050049,2797.5,2634.199951,533.3499756,1962.949951,149.5399933,948.4000244,334.8999939,285.25,423.9500122,477.9500122,324.4500122,165.0399933,1595.349976,1484.75,5429.200195,2738.949951,1637.699951,1890.400024,967,6006.049805,6502.549805,24931.69922,6134.5,594.7999878,4864.899902,1840.949951,1408.199951,11868,684.2000122
2024-09-20 00:00:00+05:30,2971.850098,1741.199951,1338.449951,1905.75,4284.899902,1904.5,2977.600098,514.4000244,3793.899902,781.7000122,7582.450195,1711.75,1760.050049,3306.949951,1245,5320.549805,12614.5,11798.2998,,3797.199951,1865.75,2950.850098,2699.550049,539.0999756,2003.949951,152.0200043,981.5499878,340.8500061,286.25,423.9500122,490.9500122,331.2000122,167.0500031,1622.050049,1480.199951,5450.75,2678.25,1638.650024,1916.800049,970.8499756,6013.25,6551.149902,25141.69922,6210.549805,587.0999756,4963.149902,1870.25,1438.699951,11941.7002,694.4000244
